id, comm, latitude, longitude
529, 13, 40.76806, -73.78954
530, 8, 40.686317, -73.973526
531, 25, 40.756706, -73.98234
532, 5, 40.599026, -73.95507
533, 1, 40.587223, -74.103905
534, 2, 40.80845, -73.94512
535, 17, 40.747185, -73.98006
536, 0, 40.73648, -73.99291
537, 4, 40.835308, -73.84786
538, 11, 40.77725, -73.96121
539, 4, 40.77339, -73.98262
540, 6, 40.754555, -73.97787
541, 0, 40.744473, -73.991615
542, 31, 40.75989, -73.918274
543, 8, 40.697273, -73.57499
544, 25, 40.872635, -73.8852
545, 12, 40.706985, -73.69281
546, 0, 40.72349, -73.99781
547, 26, 40.728542, -74.06279
548, 0, 40.723984, -73.978264
549, 41, 40.728245, -74.00302
550, 13, 40.762363, -73.97504
551, 1, 40.757065, -73.99853
552, 0, 40.713192, -74.016304
553, 3, 40.633125, -73.88981
554, 1, 40.761005, -73.90906
555, 5, 40.65951, -74.002235
556, 18, 40.78627, -73.93958
558, 6, 40.541546, -74.17567
559, 25, 40.718777, -73.60497
560, 36, 40.78632, -73.824486
561, 17, 40.682125, -73.99601
562, 24, 40.726025, -73.71909
563, 0, 40.737247, -74.03091
564, 13, 40.762604, -73.96635
565, 13, 40.544376, -74.21684
566, 18, 40.662933, -73.95079
567, 0, 40.74247, -73.98681
568, 0, 40.62966, -74.01151
569, 12, 40.89765, -73.77991
570, 13, 40.72564, -73.98456
571, 1, 40.588047, -73.984474
572, 29, 40.67799, -73.77961
573, 1, 40.71695, -74.0081
574, 0, 40.720375, -73.95924
575, 0, 40.7331, -74.010475
576, 5, 40.700546, -73.99352
577, 1, 40.71171, -74.00584
578, 13, 40.7648, -73.810936
579, 6, 40.750515, -73.99162
580, 0, 40.74255, -73.53642
581, 0, 40.71615, -73.94817
582, 6, 40.72845, -74.00731
583, 4, 40.819084, -73.81737
584, 13, 40.67152, -73.95412
585, 23, 40.811123, -73.95333
587, 0, 40.747166, -73.94468
588, 6, 40.691944, -73.819115
589, 8, 40.761024, -73.99967
590, 24, 40.75022, -73.86133
591, 18, 40.7304, -73.99274
593, 21, 40.744972, -73.91871
594, 26, 40.61871, -73.93246
595, 0, 40.72738, -73.99209
596, 0, 40.68922, -73.95521
597, 1, 40.723515, -73.99834
598, 4, 40.84784, -73.93458
599, 0, 40.671688, -73.95015
600, 6, 40.65836, -73.66463
601, 0, 40.728527, -73.998665
602, 23, 40.62376, -74.02502
603, 0, 40.59688, -73.9629
604, 11, 40.673637, -73.99134
605, 1, 40.77438, -73.87167
606, 4, 40.707066, -74.00639
607, 4, 40.840332, -73.855965
608, 4, 40.606754, -73.96345
609, 1, 40.764217, -73.91612
610, 4, 40.77384, -74.02038
611, 14, 40.707138, -73.94423
612, 0, 40.766056, -73.95221
613, 4, 40.775375, -73.958534
614, 4, 40.844162, -73.83078
615, 25, 40.756912, -73.988815
616, 5, 40.60763, -74.00169
617, 36, 40.695366, -73.99606
618, 4, 40.68376, -73.929146
619, 2, 40.65389, -73.67415
620, 1, 40.906467, -73.85499
621, 6, 40.76233, -73.77106
622, 0, 40.765358, -73.980286
623, 1, 40.74776, -74.00609
624, 61, 40.713493, -73.79431
625, 25, 40.62016, -73.93694
626, 6, 40.68232, -73.75496
627, 8, 40.71516, -74.04424
628, 1, 40.62327, -74.14802
629, 23, 40.706833, -74.01262
630, 0, 40.701286, -73.9816
632, 34, 40.750835, -73.98432
633, 4, 40.726013, -73.85821
634, 8, 40.66497, -74.11793
635, 6, 40.76478, -73.8711
636, 4, 40.739582, -73.984634
637, 4, 40.75446, -73.97859
638, 6, 40.71119, -73.624306
639, 1, 40.75853, -73.99469
640, 3, 40.629593, -74.02853
641, 2, 40.702656, -74.017624
642, 0, 40.733425, -73.87185
643, 8, 40.78155, -73.8378
644, 5, 40.55064, -74.2169
645, 8, 40.78612, -74.04646
646, 0, 40.74118, -74.00206
647, 6, 40.720562, -73.84253
648, 4, 40.71468, -73.79569
649, 5, 40.886242, -73.9071
650, 6, 40.67766, -73.66738
651, 0, 40.824207, -73.94516
652, 1, 40.763832, -73.978615
653, 0, 40.733166, -74.003876
654, 0, 40.672283, -73.993706
655, 5, 40.7444, -73.984535
657, 8, 40.710323, -73.62393
658, 0, 40.7371, -73.99059
659, 31, 40.88289, -73.89279
661, 8, 40.855938, -73.97194
662, 0, 40.70392, -73.9874
663, 3, 40.763496, -73.99581
664, 1, 40.804596, -73.9381
665, 0, 40.76144, -73.98711
666, 25, 40.67911, -73.92713
667, 3, 40.71791, -73.63185
668, 0, 40.73575, -73.98936
669, 1, 40.886406, -73.900375
670, 4, 40.704197, -74.01219
672, 13, 40.673836, -74.01668
673, 0, 40.710983, -73.9483
674, 0, 40.766827, -73.97786
675, 3, 40.612106, -74.157646
676, 19, 40.756577, -73.98745
677, 0, 40.750477, -73.99502
678, 1, 40.744156, -73.99633
679, 0, 40.720776, -73.98882
680, 5, 40.72459, -74.002144
681, 4, 40.777737, -73.9612
682, 2, 40.74664, -73.98151
683, 18, 40.745068, -73.97889
684, 3, 40.542393, -74.146255
685, 0, 40.683544, -73.95398
686, 4, 40.79671, -73.97071
687, 0, 40.74244, -73.99492
688, 0, 40.793026, -73.973206
689, 11, 40.613323, -73.9806
690, 4, 40.714996, -74.00562
691, 0, 40.74022, -74.0075
692, 0, 40.743614, -73.983475
693, 13, 40.666145, -73.88415
694, 0, 40.725643, -73.945854
695, 0, 40.756763, -73.98603
696, 14, 40.733826, -74.057304
697, 0, 40.75785, -73.96755
698, 8, 40.720882, -74.044624
700, 7, 40.71565, -73.99838
701, 0, 40.763542, -73.98326
702, 29, 40.72611, -73.98779
703, 17, 40.80874, -73.9485
704, 3, 40.542427, -74.16355
705, 4, 40.777958, -73.91233
706, 0, 40.8513, -73.89341
707, 0, 40.75986, -73.97942
708, 8, 40.71314, -74.053444
709, 4, 40.954945, -73.84353
710, 0, 40.76453, -73.98711
711, 0, 40.764774, -73.969955
712, 0, 40.62253, -73.7231
713, 0, 40.70227, -73.987236
714, 1, 40.743233, -73.924255
715, 29, 40.772026, -73.958885
716, 26, 40.76559, -73.74467
717, 8, 40.76022, -73.801254
718, 0, 40.76275, -73.99725
719, 0, 40.761757, -73.97987
720, 7, 40.67704, -73.99244
721, 25, 40.607456, -73.92038
723, 35, 40.72726, -74.068596
724, 0, 40.735813, -74.000656
725, 5, 40.64714, -73.63868
726, 0, 40.735176, -73.9796
727, 25, 40.891594, -73.8202
728, 0, 40.638115, -73.78422
729, 3, 40.754543, -73.98002
730, 4, 40.768806, -73.86211
731, 21, 40.735546, -73.919044
