id, latitude, longitude, comm
15967453,40.7104985207,-73.9528277013,23
15052160,40.7039655853,-73.9195074918,17
9956517,40.6890525342,-73.9461722811,8
13134263,40.744631156,-73.9876783399,13
14416917,40.730730548,-73.993685823,5
14370719,40.6880411006,-73.9659138475,35
2608680,40.8166548473,-73.9398732823,31
7820825,40.8068855473,-73.9478360604,5
7663756,40.7696504946,-73.9649478271,0
13446210,40.6738182495,-73.9745633695,0
3394459,40.6854691959,-73.9429587138,17
14585103,40.7135478477,-73.9454389788,0
13466168,40.7071061538,-74.0143672634,5
8729771,40.822484766,-73.9489121068,41
56475,40.7198651699,-73.9615076943,0
1925703,40.7989708194,-73.970089941,1
6403741,40.684939708,-73.9719494083,0
6403745,40.7465364432,-73.9555732007,14
6035510,40.7052473275,-73.9380366759,7
3522513,40.8029734196,-73.9513180877,8
10054040,40.7680461309,-73.9090553831,6
6328175,40.8069180753,-73.9643367768,6
14450019,40.7149099117,-73.9541995836,0
799836,40.7431923639,-74.0023251169,5
15707377,40.7135667075,-73.952347448,8
11609852,40.6784702739,-73.9688624804,0
10615184,40.6942178007,-73.9282807145,6
16156364,40.7246145804,-73.9792113692,7
13507748,40.6952984829,-73.9600304687,0
4538012,40.8197884486,-73.9436059505,0
7219191,40.67732455,-73.9822638321,0
9813902,40.6947744136,-73.9519695793,3
2876055,40.7137600935,-73.9423928939,1
253828,40.7367401564,-73.9524716859,5
12973657,40.8046812526,-73.9562311424,4
521883,40.6831603344,-73.924732522,7
6914387,40.718907449,-73.961352905,34
3168163,40.6834508554,-73.9123704546,35
5949599,40.7857348312,-73.9702591922,19
8207558,40.7222022576,-73.9997307709,23
5297660,40.6674215639,-73.9503889147,1
5806696,40.6731139782,-73.9729546086,0
9504072,40.7036054443,-73.9205609814,4
13333790,40.6768922236,-73.9454404538,0
13710714,40.7718908553,-73.946544396,31
8058693,40.6835175273,-73.9634823946,3
14027029,40.726361312,-73.9760170022,0
690603,40.677218761,-73.9500511749,4
7987306,40.702272215,-73.923621239,0
2571133,40.8006419196,-73.9569079476,10
10658111,40.7512386688,-73.938378,29
4089102,40.6840681535,-73.9548712092,18
13031084,40.6901206116,-73.9155945952,5
6132757,40.6830072351,-73.9637499652,18
15136566,40.6871393892,-73.9277900199,8
15569548,40.7467063504,-74.0033393272,4
15311845,40.7727544403,-73.9631011351,8
9329563,40.6970923041,-73.9369359216,12
12836808,40.7669672609,-73.9857374639,0
9012991,40.6820181175,-73.920037352,1
16010302,40.7513323996,-73.9996452611,11
2145858,40.6903362758,-73.9714770653,6
12087785,40.6910625233,-73.9652867183,2
4767537,40.7509026795,-73.9956005259,4
10055872,40.6945919453,-73.9640799783,4
9121896,40.8161377896,-73.9411558146,0
7554458,40.7135436428,-73.9911898283,0
15147373,40.7093824361,-73.9582186434,10
16087582,40.7388501614,-74.0036353249,0
3916312,40.8207919754,-73.9511461623,23
11434934,40.6860361818,-73.9128850102,61
6282629,40.8164443534,-73.9338969217,25
15207104,40.6817724216,-73.9612857469,0
16112268,40.7231800965,-73.9836989049,0
8163336,40.7779711266,-73.9823441855,5
10179233,40.7175273444,-73.9503244723,0
9928794,40.7791003429,-73.9457020059,32
591046,40.7138951035,-73.9577782809,4
6878956,40.6819907609,-73.9649352132,13
9490035,40.6922343269,-73.9469322992,6
9756891,40.6487638582,-73.9697040581,8
15997668,40.7208653701,-74.0025998843,24
6520055,40.6733780538,-73.9665190928,41
12604187,40.7536859995,-73.9663158976,4
8119018,40.7788660564,-73.9540551863,5
7366189,40.7925159701,-73.9399549341,29
6993862,40.7057078563,-73.9277404819,4
456190,40.733573276,-74.0072272567,3
15871074,40.739702791,-73.9961345125,61
13355711,40.8509999895,-73.9314095721,4
15396610,40.7641529764,-73.9848506753,4
9594936,40.6966605567,-73.9393427688,0
10798454,40.7305202702,-74.0046113078,0
877067,40.6929774344,-73.9685442378,24
1151565,40.7358241787,-73.9534273469,1
537232,40.7316518741,-73.9850316574,13
15191369,40.7038827516,-73.9222960711,61
9451988,40.753363284,-73.9337103351,6
13768247,40.7054787473,-73.9287220232,0
9288652,40.7265010765,-74.0022553781,0
223597,40.6580125058,-73.9608139352,4
6645224,40.7378310499,-73.9938270855,0
471712,40.8066100024,-73.9576012584,26
4172947,40.6942022821,-73.9526903998,0
3614499,40.7163022624,-73.990806496,4
1851660,40.7243864092,-73.9782903749,0
14010651,40.7194434725,-73.9844132428,1
8400011,40.7929096591,-73.9704078554,0
10829384,40.7119431291,-73.9647057317,1
10021707,40.6979082848,-73.9361502797,25
437906,40.7280032257,-73.979028011,0
